ID,Año,Semana Epidemiológica (a),Total de Casos de Dengue (b),Tasa de Incidencia (c),Confirmados Laboratorio,% Lab Conf (x100),Dengue Grave (d),(DG/D) x100 (e),Muertes,Letalidad (f),Población X 1000,ID_Pais_Subregion,ID_Serotipo,ID_Calendario
85,2016,52,32386,"297,44673",4413,"13,62626",61,"0,18835",2,0.00618,10888,8,7,8
86,2017,52,9923,"89,78465",917,"9,24116",66,"0,66512",2,0.02016,11052,8,11,1
87,2015,52,27099,"245,79592",2432,"8,97450",86,"0,31735",1,0.00369,11025,8,12,7
88,2014,53,23471,"216,36246",3469,"14,77994",380,"1,61902",0,0.00000,10848,8,13,6
89,2024,18,128881,"251,39664",83492,"64,78224",1182,"0,91713",48,0.03724,51266,9,4,11
90,2017,52,25284,"51,53059",6784,"26,83120",236,"0,93340",15,0.05933,49066,9,2,1
91,2018,52,44825,"90,61963",4063,"9,06414",526,"1,17345",23,0.05131,49465,9,2,2
92,2019,52,127553,"257,86516",38016,"29,80408",1406,"1,10229",87,0.06821,49465,9,2,3
93,2014,53,107975,"220,67239",47946,"44,40472",2619,"2,42556",88,0.08150,48930,9,3,6
94,2015,52,96444,"194,72228",39475,"40,93049",1421,"1,47339",155,0.16072,49529,9,3,7
95,2016,52,101016,"207,62116",45809,"45,34826",899,"0,88996",60,0.05940,48654,9,3,8
96,2020,53,78979,"159,66643",17401,"22,03244",897,"1,13574",55,0.06964,49465,9,3,4
97,2021,52,53334,"104,03386",29334,"55,00056",958,"1,79623",43,0.08062,51266,9,3,5
98,2022,52,69497,"135,56158",47366,"68,15546",1371,"1,97275",48,0.06907,51266,9,3,9
99,2023,52,131784,"257,05926",95575,"72,52398",1714,"1,30061",90,0.06829,51266,9,3,10
100,2024,18,27063,"151,29137",27063,"100,00000",120,"0,44341",31,0.11455,17888,10,4,11
101,2018,52,3099,"18,37751",131,"4,22717",6,"0,19361",1,0.03227,16863,10,10,2
102,2019,52,8416,"49,90808",821,"9,75523",38,"0,45152",2,0.02376,16863,10,1,3
103,2020,53,19950,"118,30635",,,51,"0,25564",6,0.03008,16863,10,1,4
104,2021,52,20592,"115,11628",20592,"100,00000",79,"0,38364",19,0.09227,17888,10,1,5
105,2022,52,16017,"89,54047",16017,"100,00000",109,"0,68053",13,0.08116,17888,10,1,9
106,2023,52,27838,"155,62388",27838,"100,00000",112,"0,40233",33,0.11854,17888,10,1,10
107,2014,53,15531,"97,17200",15531,"100,00000",67,"0,43140",12,0.07726,15983,10,3,6
108,2015,52,42473,"261,75891",1437,"3,38333",56,"0,13185",8,0.01884,16226,10,3,7
109,2016,52,14159,"86,41440",14159,"100,00000",39,"0,27544",4,0.02825,16385,10,7,8
110,2017,52,11387,"68,49323",11387,"100,00000",18,"0,15807",4,0.03513,16625,10,12,1
111,2020,53,56394,"173,24281",35641,"63,19999",122,"0,21634",88,0.15604,32552,11,1,4
112,2021,52,49274,"147,70826",38258,"77,64338",143,"0,29021",39,0.07915,33359,11,1,5
113,2022,52,72851,"218,38484",53736,"73,76151",229,"0,31434",84,0.11530,33359,11,1,9
114,2023,52,274227,"822,04802",230872,"84,19011",1055,"0,38472",441,0.16082,33359,11,2,10
115,2024,18,209198,"627,11112",153187,"73,22584",610,"0,29159",165,0.07887,33359,11,2,11
116,2014,53,19043,"61,89021",11623,"61,03555",95,"0,49887",31,0.16279,30769,11,3,6
117,2015,52,35837,"115,00594",32511,"90,71909",123,"0,34322",41,0.11441,31161,11,3,7
118,2016,52,31868,"100,29584",17055,"53,51764",124,"0,38911",37,0.11610,31774,11,3,8
119,2017,52,76093,"236,57081",27241,"35,79961",251,"0,32986",76,0.09988,32165,11,3,1
120,2019,52,17143,"52,66343",,,163,"0,95083",37,0.21583,32552,11,3,3
121,2018,52,6930,"21,28901",,,65,"0,93795",15,0.21645,32552,11,14,2
122,2017,52,8615,"26,94124",1588,"18,43297",359,"4,16715",16,0.18572,31977,12,10,1
123,2018,52,19118,"59,04080",2440,"12,76284",101,"0,52830",24,0.12554,32381,12,2,2
124,2019,52,16015,"49,45802",880,"5,49485",70,"0,43709",23,0.14362,32381,12,2,3
125,2020,53,6721,"20,75600",304,"4,52314",31,"0,46124",14,0.20830,32381,12,2,4
126,2021,52,5926,"20,64449",263,"4,43807",29,"0,48937",8,0.13500,28705,12,2,5
127,2014,53,87529,"283,71528",70,"0,07997",221,"0,25249",0,0.00000,30851,12,3,6
128,2015,52,54152,"173,04829",13837,"25,55215",282,"0,52076",90,0.16620,31293,12,3,7
129,2016,52,29268,"92,85828",5833,"19,92962",115,"0,39292",39,0.13325,31519,12,3,8
130,2022,52,11409,"39,74569",2592,"22,71891",43,"0,37690",18,0.15777,28705,12,3,9
131,2023,21,4809,"16,75318",1445,"30,04783",17,"0,35350",8,0.16635,28705,12,3,10
132,2018,52,1829,"4,09273",1175,"64,24276",3,"0,16402",0,0.00000,44689,13,10,2
133,2022,50,750,"1,64452",750,"100,00000",4,"0,53333",0,0.00000,45606,13,1,9
134,2023,52,130287,"285,67952",130287,"100,00000",261,"0,20033",75,0.05757,45606,13,2,10
135,2024,18,447108,"980,37100",159745,"35,72850",722,"0,16148",304,0.06799,45606,13,2,11
136,2020,48,59358,"132,82463",58415,"98,41133",87,"0,14657",19,0.03201,44689,13,7,4
137,2021,52,3972,"8,70938",3972,"100,00000",0,"0,00000",0,0.00000,45606,13,7,5
138,2017,52,557,"1,25816",254,"45,60144",7,"1,25673",0,0.00000,44271,13,11,1
139,2014,53,3270,"7,82241",490,"14,98471",0,"0,00000",0,0.00000,41803,13,12,6
140,2015,52,4774,"11,32487",1208,"25,30373",3,"0,06284",0,0.00000,42155,13,12,7
141,2016,52,79455,"181,20966",41211,"51,86709",30,"0,03776",10,0.01259,43847,13,12,8
142,2019,52,3220,"7,20535",1720,"53,41615",9,"0,27950",0,0.00000,44689,13,12,3
143,2021,52,975474,"455,84388",414154,"42,45669",371,"0,03803",239,0.02450,213993,14,1,5
144,2014,53,591080,"292,56462",220539,"37,31119",689,"0,11657",410,0.06936,202034,14,3,6
145,2015,52,1649008,"809,69866",500972,"30,38020",1569,"0,09515",863,0.05233,203657,14,3,7
146,2016,52,2220482,"1.059,55203",1039147,"46,79826",931,"0,04193",707,0.03184,209568,14,3,8
147,2017,52,505239,"241,40849",156169,"30,90993",276,"0,05463",144,0.02850,209288,14,3,1
148,2018,52,462326,"219,24901",176814,"38,24444",323,"0,06986",160,0.03461,210868,14,3,2
149,2019,52,2248570,"1.078,47670",1290861,"57,40809",1487,"0,06613",840,0.03736,208495,14,3,3
150,2020,53,1467142,"703,68210",765114,"52,14996",828,"0,05644",554,0.03776,208495,14,3,4
151,2022,52,2363490,"1.104,47071",1210760,"51,22763",1450,"0,06135",991,0.04193,213993,14,3,9
152,2023,52,3088723,"1.443,37572",1411326,"45,69286",1619,"0,05242",1184,0.03833,213993,14,3,10
153,2024,19,6400155,"2.990,82447",2972458,"46,44353",3851,"0,06017",2576,0.04025,213993,14,3,11
154,2014,53,30,"0,16880",30,"100,00000",0,"0,00000",0,0.00000,17773,15,4,6
155,2015,52,40,"0,22316",7,"17,50000",0,"0,00000",0,0.00000,17924,15,4,7
156,2021,52,0,"0,00000",0,,0,,0,,19212,15,4,5
157,2022,52,0,"0,00000",0,,0,,0,,19212,15,4,9
158,2023,52,0,"0,00000",0,,0,,0,,19212,15,4,10
159,2016,52,33,"0,18200",0,"0,00000",0,"0,00000",0,0.00000,18132,15,10,8
160,2018,52,18,"0,09892",18,"100,00000",0,"0,00000",0,0.00000,18197,15,10,2
161,2019,52,29,"0,15937",28,"96,55172",0,"0,00000",0,0.00000,18197,15,10,3
162,2024,19,138,"0,71830",138,"100,00000",0,"0,00000",0,0.00000,19212,15,10,11
163,2017,38,10,"0,05539",10,"100,00000",0,"0,00000",0,0.00000,18055,15,11,1
