ID,Año,Semana_Epidemiologica,Total_Casos,Tasas_Incidencias,Confirmados_Laboratorio,%_Laboratorio_Confirmado,Dengue_Grave,%_Dengue_Grave,Muertes,Letalidad,Poblacion_x_1000,ID_Pais,ID_Serotipo,ID_Calendario
187,2014,53,2522,22.4,2522,100.0,0,0.0,0,0.0,11259,18,4,6
188,2023,,,,,,,,,,11317,18,4,10
189,2019,52,3259,28.37,2935,90.06,3,0.09,0,0.0,11489,18,1,3
190,2020,26,1418,12.34,1418,100.0,1,0.07,,,11489,18,1,4
191,2021,52,1160,10.25,,,,,,,11317,18,1,5
192,2022,26,3036,26.83,3036,100.0,18,0.59,1,0.03294,11317,18,3,9
193,2018,52,2128,18.52,2128,100.0,0,0.0,0,0.0,11489,18,6,2
194,2016,52,1836,16.12,1836,100.0,29,1.58,0,0.0,11393,18,9,8
195,2017,52,1248,10.87,1248,100.0,19,1.52,0,0.0,11485,18,9,1
196,2015,52,1691,15.03,1691,100.0,0,0.0,0,0.0,11249,18,15,7
197,2016,52,6645,62.4,0,0.0,641,9.65,39,0.58691,10649,19,4,8
198,2021,52,3746,34.2,69,1.84,193,5.15,26,0.69407,10954,19,4,5
199,2024,19,8106,74.0,790,9.75,57,0.7,,,10954,19,4,11
200,2020,53,3964,36.42,453,11.43,245,6.18,36,0.90817,10883,19,10,4
201,2018,52,1558,14.32,122,7.83,111,7.12,1,0.06418,10883,19,1,2
202,2019,52,20183,185.45,3648,18.07,328,1.63,53,0.2626,10883,19,2,3
203,2023,52,27972,255.36,833,2.98,191,0.68,62,0.22165,10954,19,2,10
204,2014,53,6274,59.59,,,424,6.76,62,0.98821,10529,19,7,6
205,2017,52,1363,12.66,18,1.32,88,6.46,3,0.2201,10767,19,6,1
206,2022,52,10784,98.45,,,279,2.59,39,0.36165,10954,19,6,9
207,2015,52,17048,160.05,0,0.0,1854,10.88,107,0.62764,10652,19,8,7
208,2016,52,168,4.56,168,100.0,0,0.0,0,0.0,3681,20,4,8
209,2017,52,0,0.0,0,,0,,0,,3663,20,4,1
210,2018,52,0,0.0,0,,0,,0,,3659,20,4,2
211,2019,52,37,1.01,37,100.0,0,0.0,0,0.0,3659,20,4,3
212,2020,53,914,24.98,851,93.11,30,3.28,0,0.0,3659,20,4,4
213,2021,52,636,22.49,573,90.09,76,11.95,2,0.31447,2828,20,1,5
214,2022,52,1023,36.17,897,87.68,45,4.4,3,0.29326,2828,20,2,9
215,2023,52,1242,43.92,942,75.85,62,4.99,0,0.0,2828,20,2,10
216,2024,16,885,31.29,757,85.54,53,5.99,0,0.0,2828,20,2,11
217,2015,52,1867,50.73,57,3.05,0,0.0,0,0.0,3680,20,3,7
218,2014,53,8880,241.04,530,5.97,2,0.02,0,0.0,3684,20,7,6
219,2014,,,,,,,,,,10461,21,4,6
220,2016,,,,,,,,,,10848,21,4,8
221,2017,,,,,,,,,,10981,21,4,1
222,2018,52,90,0.81,1,1.11,,,0,0.0,11113,21,4,2
223,2019,49,93,0.84,,,,,0,0.0,11113,21,4,3
224,2020,50,1783,16.04,56,3.14,0,0.0,0,0.0,11113,21,4,4
225,2021,50,6298,54.57,19,0.3,0,0.0,0,0.0,11542,21,4,5
226,2022,26,3316,28.73,2,0.06,0,0.0,0,0.0,11542,21,4,9
227,2023,,,,,,,,,,11542,21,4,10
228,2015,52,130,1.23,13,10.0,0,0.0,0,0.0,10604,21,3,7
